time,tag,tr,flag,tell
2024-11-03 17:53:13.184028,g/,,resting,f1
2024-11-03 17:53:13.987791,g/,,resting,f1
2024-11-03 17:53:14.787389,g/,,resting,f1
2024-11-03 17:53:15.595036,g/,,resting,f1
2024-11-03 17:53:16.396699,g/,,resting,f1
2024-11-03 17:53:17.198294,g/,,resting,f1
2024-11-03 17:53:18.003170,g/,,resting,f1
2024-11-03 17:53:18.807194,g/,,resting,f1
2024-11-03 17:53:19.620707,g/,,resting,f1
2024-11-03 17:53:20.427960,g/,,resting,f1
2024-11-03 17:53:21.229172,g/,,resting,f1
2024-11-03 17:53:22.042897,g/,,resting,f1
2024-11-03 17:53:22.841084,g/,,resting,f1
2024-11-03 17:53:23.651765,g/,,resting,f1
2024-11-03 17:53:24.451705,g/,,resting,f1
2024-11-03 17:53:25.260148,g/,,resting,f1
2024-11-03 17:53:26.062978,g/,,resting,f1
2024-11-03 17:53:26.869970,g/,,resting,f1
2024-11-03 17:53:27.671011,g/,,resting,f1
2024-11-03 17:53:28.474731,g/,,resting,f1
2024-11-03 17:53:29.279397,g/,,resting,f1
2024-11-03 17:53:30.085200,g/,,resting,f1
2024-11-03 17:53:30.891175,g/,,resting,f1
2024-11-03 17:53:31.694045,g/,,resting,f1
2024-11-03 17:53:32.502054,g/,,resting,f1
2024-11-03 17:53:33.312894,g/,,resting,f1
2024-11-03 17:53:34.120063,g/,,resting,f1
2024-11-03 17:53:34.927985,g/,,resting,f1
2024-11-03 17:53:35.729381,g/,,resting,f1
2024-11-03 17:53:36.550478,g/,,resting,f1
2024-11-03 17:53:37.351065,g/,,resting,f1
2024-11-03 17:53:38.156026,g/,,resting,f1
2024-11-03 17:53:38.968109,g/,,resting,f1
2024-11-03 17:53:39.782218,g/,,resting,f1
2024-11-03 17:53:40.592419,g/,,resting,f1
2024-11-03 17:53:41.392978,g/,,resting,f1
2024-11-03 17:53:42.193183,g/,,resting,f1
2024-11-03 17:53:42.998405,g/,,resting,f1
2024-11-03 17:53:43.804973,g/,,resting,f1
2024-11-03 17:53:44.608885,g/,,resting,f1
2024-11-03 17:53:45.408223,g/,,resting,f1
2024-11-03 17:53:46.209450,g/,,resting,f1
2024-11-03 17:53:47.013293,g/,,resting,f1
2024-11-03 17:53:47.815482,g/,,resting,f1
2024-11-03 17:53:48.614182,g/,,resting,f1
2024-11-03 17:53:49.414397,g/,,resting,f1
2024-11-03 17:53:50.217516,g/,,resting,f1
2024-11-03 17:53:51.022869,g/,,resting,f1
2024-11-03 17:53:51.828558,g/,,resting,f1
2024-11-03 17:53:52.634241,g/,,resting,f1
2024-11-03 17:53:53.442181,g/,,resting,f1
2024-11-03 17:53:54.251709,g/,,resting,f1
2024-11-03 17:53:55.056224,g/,,resting,f1
2024-11-03 17:53:55.858572,g/,,resting,f1
2024-11-03 17:53:56.657772,g/,,resting,f1
2024-11-03 17:53:57.458904,g/,,resting,f1
2024-11-03 17:53:58.261690,g/,,resting,f1
2024-11-03 17:53:59.061212,ct,,resting,f11
2024-11-03 17:54:00.070630,click,,,f2
2024-11-03 17:53:59.859534,ct,1.009418,correct comission,f2
2024-11-03 17:54:00.561167,click,,,f4
2024-11-03 17:54:00.657613,mt,0.701633,comission error,f4
2024-11-03 17:54:01.461536,ct,,omission error,f6
2024-11-03 17:54:02.087287,click,,,f2
2024-11-03 17:54:02.264083,ct,0.625751,correct comission,f2
2024-11-03 17:54:02.800331,click,,,f3
2024-11-03 17:54:03.060787,ct,0.536248,correct comission,f3
2024-11-03 17:54:03.764573,click,,,f2
2024-11-03 17:54:03.869086,ct,0.703786,correct comission,f2
2024-11-03 17:54:04.566215,click,,,f2
2024-11-03 17:54:04.668185,ct,0.697129,correct comission,f2
2024-11-03 17:54:05.272950,click,,,f2
2024-11-03 17:54:05.473364,ct,0.604765,correct comission,f2
2024-11-03 17:54:06.163395,click,,,f2
2024-11-03 17:54:06.276675,ct,0.690031,correct comission,f2
2024-11-03 17:54:06.847253,click,,,f2
2024-11-03 17:54:07.076096,ct,0.570578,correct comission,f2
2024-11-03 17:54:07.702260,click,,,f2
2024-11-03 17:54:07.878952,ct,0.626164,correct comission,f2
2024-11-03 17:54:08.519601,click,,,f2
2024-11-03 17:54:08.685365,ct,0.640649,correct comission,f2
2024-11-03 17:54:09.285153,click,,,f2
2024-11-03 17:54:09.489018,ct,0.599788,correct comission,f2
2024-11-03 17:54:10.079568,click,,,f2
2024-11-03 17:54:10.288843,ct,0.59055,correct comission,f2
2024-11-03 17:54:11.049213,click,,,f2
2024-11-03 17:54:11.097983,ct,0.76037,correct comission,f2
2024-11-03 17:54:11.729728,click,,,f2
2024-11-03 17:54:11.905074,ct,0.631745,correct comission,f2
2024-11-03 17:54:12.487273,click,,,f4
2024-11-03 17:54:12.704623,mt,0.582199,comission error,f4
2024-11-03 17:54:13.225725,click,,,f3
2024-11-03 17:54:13.509004,ct,0.521102,correct comission,f3
2024-11-03 17:54:14.308580,ct,,omission error,f6
2024-11-03 17:54:14.976061,click,,,f2
2024-11-03 17:54:15.122676,ct,0.667481,correct comission,f2
2024-11-03 17:54:15.671463,click,,,f4
2024-11-03 17:54:15.934164,mt,0.548787,comission error,f4
2024-11-03 17:54:16.599216,click,,,f2
2024-11-03 17:54:16.734352,ct,0.665052,correct comission,f2
2024-11-03 17:54:17.510581,click,,,f2
2024-11-03 17:54:17.543090,ct,0.776229,correct comission,f2
2024-11-03 17:54:18.273834,click,,,f2
2024-11-03 17:54:18.342063,ct,0.730744,correct comission,f2
2024-11-03 17:54:19.362687,click,,,f2
2024-11-03 17:54:19.148675,ct,1.020624,correct comission,f2
2024-11-03 17:54:20.016930,click,,,f2
2024-11-03 17:54:19.951132,ct,0.868255,correct comission,f2
2024-11-03 17:54:20.824355,click,,,f2
2024-11-03 17:54:20.749352,ct,0.873223,correct comission,f2
2024-11-03 17:54:21.747608,click,,,f2
2024-11-03 17:54:21.547498,ct,0.998256,correct comission,f2
2024-11-03 17:54:22.460291,click,,,f2
2024-11-03 17:54:22.351694,ct,0.912793,correct comission,f2
2024-11-03 17:54:23.382506,click,,,f2
2024-11-03 17:54:23.149051,ct,1.030812,correct comission,f2
2024-11-03 17:54:24.003856,ct,,omission error,f6
2024-11-03 17:54:24.682683,click,,,f2
2024-11-03 17:54:24.883885,ct,0.678827,correct comission,f2
2024-11-03 17:54:25.432778,click,,,f3
2024-11-03 17:54:25.771379,ct,0.548893,correct comission,f3
2024-11-03 17:54:26.378906,click,,,f2
2024-11-03 17:54:26.663826,ct,0.607527,correct comission,f2
2024-11-03 17:54:27.461163,click,,,f2
2024-11-03 17:54:27.465200,ct,0.797337,correct comission,f2
2024-11-03 17:54:28.073276,click,,,f4
2024-11-03 17:54:28.282889,mt,0.608076,comission error,f4
2024-11-03 17:54:29.086487,ct,,omission error,f6
2024-11-03 17:54:29.721237,click,,,f2
2024-11-03 17:54:29.896037,ct,0.63475,correct comission,f2
2024-11-03 17:54:30.407872,click,,,f3
2024-11-03 17:54:30.698202,ct,0.511835,correct comission,f3
2024-11-03 17:54:31.295567,click,,,f2
2024-11-03 17:54:31.499056,ct,0.597365,correct comission,f2
2024-11-03 17:54:32.263636,click,,,f4
2024-11-03 17:54:32.301142,mt,0.76458,comission error,f4
2024-11-03 17:54:33.102474,ct,,omission error,f6
2024-11-03 17:54:33.559334,click,,,f3
2024-11-03 17:54:33.909262,ct,0.45686,correct comission,f3
2024-11-03 17:54:34.376613,click,,,f3
2024-11-03 17:54:34.718908,ct,0.467351,correct comission,f3
2024-11-03 17:54:35.384675,click,,,f2
2024-11-03 17:54:35.520403,ct,0.665767,correct comission,f2
2024-11-03 17:54:36.300850,click,,,f2
2024-11-03 17:54:36.320417,ct,0.780447,correct comission,f2
2024-11-03 17:54:37.094749,click,,,f2
2024-11-03 17:54:37.118215,ct,0.774332,correct comission,f2
2024-11-03 17:54:37.795546,click,,,f2
2024-11-03 17:54:37.918170,ct,0.677331,correct comission,f2
2024-11-03 17:54:38.597994,click,,,f2
2024-11-03 17:54:38.721258,ct,0.679824,correct comission,f2
2024-11-03 17:54:39.524771,click,,,f2
2024-11-03 17:54:39.525699,ct,0.803513,correct comission,f2
2024-11-03 17:54:40.334063,mt,,correct omission,f5
2024-11-03 17:54:41.019038,click,,,f2
2024-11-03 17:54:41.134040,ct,0.684975,correct comission,f2
2024-11-03 17:54:41.947139,ct,,omission error,f6
2024-11-03 17:54:42.663618,click,,,f2
2024-11-03 17:54:42.743981,ct,0.716479,correct comission,f2
2024-11-03 17:54:43.588518,click,,,f2
2024-11-03 17:54:43.544725,ct,0.844537,correct comission,f2
2024-11-03 17:54:44.249636,click,,,f2
2024-11-03 17:54:44.348793,ct,0.704911,correct comission,f2
2024-11-03 17:54:45.175474,click,,,f2
2024-11-03 17:54:45.150522,ct,0.826681,correct comission,f2
2024-11-03 17:54:45.836340,click,,,f2
2024-11-03 17:54:45.958956,ct,0.685818,correct comission,f2
2024-11-03 17:54:46.708563,click,,,f2
2024-11-03 17:54:46.758427,ct,0.749607,correct comission,f2
2024-11-03 17:54:47.438264,click,,,f2
2024-11-03 17:54:47.563915,ct,0.679837,correct comission,f2
2024-11-03 17:54:48.301506,click,,,f2
2024-11-03 17:54:48.373696,ct,0.737591,correct comission,f2
2024-11-03 17:54:49.062355,click,,,f2
2024-11-03 17:54:49.181103,ct,0.688659,correct comission,f2
2024-11-03 17:54:49.880315,click,,,f2
2024-11-03 17:54:49.980118,ct,0.699212,correct comission,f2
2024-11-03 17:54:50.678065,click,,,f2
2024-11-03 17:54:50.782518,ct,0.697947,correct comission,f2
2024-11-03 17:54:51.638769,click,,,f4
2024-11-03 17:54:51.584334,mt,0.856251,comission error,f4
2024-11-03 17:54:52.383342,ct,,omission error,f6
2024-11-03 17:54:53.019582,click,,,f2
2024-11-03 17:54:53.185850,ct,0.63624,correct comission,f2
2024-11-03 17:54:53.808072,click,,,f2
2024-11-03 17:54:53.995069,ct,0.622222,correct comission,f2
2024-11-03 17:54:54.480266,click,,,f3
2024-11-03 17:54:54.794625,ct,0.485197,correct comission,f3
2024-11-03 17:54:55.279515,click,,,f3
2024-11-03 17:54:55.602526,ct,0.48489,correct comission,f3
2024-11-03 17:54:56.063931,click,,,f3
2024-11-03 17:54:56.414090,ct,0.461405,correct comission,f3
2024-11-03 17:54:56.984037,click,,,f2
2024-11-03 17:54:57.226315,ct,0.569947,correct comission,f2
2024-11-03 17:54:57.958947,click,,,f2
2024-11-03 17:54:58.027151,ct,0.732632,correct comission,f2
2024-11-03 17:54:59.037875,click,,,f2
2024-11-03 17:54:58.840726,ct,1.010724,correct comission,f2
2024-11-03 17:54:59.706808,click,,,f2
2024-11-03 17:54:59.641386,ct,0.866082,correct comission,f2
2024-11-03 17:55:00.495034,click,,,f4
2024-11-03 17:55:00.440178,mt,0.853648,comission error,f4
2024-11-03 17:55:01.255397,ct,,omission error,f6
2024-11-03 17:55:01.840663,click,,,f2
2024-11-03 17:55:02.058995,ct,0.585266,correct comission,f2
2024-11-03 17:55:02.480410,click,,,f3
2024-11-03 17:55:02.875948,ct,0.421415,correct comission,f3
2024-11-03 17:55:03.679599,ct,,omission error,f6
2024-11-03 17:55:04.175358,click,,,f3
2024-11-03 17:55:04.485753,ct,0.495759,correct comission,f3
2024-11-03 17:55:05.052387,click,,,f2
2024-11-03 17:55:05.291561,ct,0.566634,correct comission,f2
2024-11-03 17:55:06.007664,click,,,f2
2024-11-03 17:55:06.091838,ct,0.716103,correct comission,f2
2024-11-03 17:55:06.730884,click,,,f2
2024-11-03 17:55:06.897490,ct,0.639046,correct comission,f2
